EFO Accession,CLO Accession,,Step,Type
EFO_0002659,CLO_0007645,,EFO-CLS-CLO,Valid
EFO_0001095,CLO_0002043,,EFO-CLS-CLO,Valid
EFO_0001167,CLO_0003626,,EFO-CLS-CLO,Valid
EFO_0002210,CLO_0007006,,EFO-CLS-CLO,Valid
EFO_0006638,CLO_0007376,,EFO-CLS-CLO,Valid
EFO_0002066,CLO_0007017,,EFO-CLS-CLO,Valid
EFO_0002211,CLO_0007011,,EFO-CLS-CLO,Valid
EFO_0002348,CLO_0009099,,EFO-CLS-CLO,Valid
EFO_0002147,CLO_0002174,,EFO-CLS-CLO,Valid
EFO_0001667,CLO_0002355,,EFO-CLS-CLO,Valid
EFO_0006270,CLO_0034832,,EFO-CLS-CLO,Valid
EFO_0002107,CLO_0001608,,EFO-CLS-CLO,Valid
EFO_0006636,CLO_0007362,,EFO-CLS-CLO,Valid
EFO_0001262,CLO_0009727,,EFO-CLS-CLO,Valid
EFO_0005360,CLO_0002305,,EFO-CLS-CLO,Valid
EFO_0006637,CLO_0007363,,EFO-CLS-CLO,Valid
EFO_0002071,CLO_0007365,,EFO-CLS-CLO,Valid
EFO_0002094,CLO_0001146,,EFO-CLS-CLO,Valid
EFO_0005353,CLO_0022626,,EFO-CLS-CLO,Valid
EFO_0001200,CLO_0007599,,EFO-CLS-CLO,Valid
EFO_0005335,CLO_0029187,,EFO-CLS-CLO,Valid
EFO_0005334,CLO_0029222,,EFO-CLS-CLO,Valid
EFO_0005746,CLO_0003414,,EFO-CLS-CLO,Valid
EFO_0006487,CLO_0009042,,EFO-CLS-CLO,Valid
EFO_0005747,CLO_0003535,,EFO-CLS-CLO,Valid
EFO_0006494,CLO_0009150,,EFO-CLS-CLO,Valid
EFO_0002148,CLO_0002195,,EFO-CLS-CLO,Valid
EFO_0002130,CLO_0002360,,EFO-CLS-CLO,Valid
EFO_0005338,CLO_0022834,,EFO-CLS-CLO,Valid
EFO_0005337,CLO_0022833,,EFO-CLS-CLO,Valid
EFO_0005340,CLO_0022824,,EFO-CLS-CLO,Valid
EFO_0005339,CLO_0022825,,EFO-CLS-CLO,Valid
EFO_0002119,CLO_0002114,,EFO-CLS-CLO,Valid
EFO_0002136,CLO_0002546,,EFO-CLS-CLO,Valid
EFO_0005346,CLO_0033829,,EFO-CLS-CLO,Valid
EFO_0005345,CLO_0033830,,EFO-CLS-CLO,Valid
EFO_0005341,CLO_0022827,,EFO-CLS-CLO,Valid
EFO_0005344,CLO_0022828,,EFO-CLS-CLO,Valid
EFO_0005343,CLO_0022829,,EFO-CLS-CLO,Valid
EFO_0005342,CLO_0022826,,EFO-CLS-CLO,Valid
EFO_0006479,CLO_0008890,,EFO-CLS-CLO,Valid
EFO_0002834,CLO_0050798,,EFO-CLS-CLO,Valid
EFO_0006485,CLO_0008969,,EFO-CLS-CLO,Valid
EFO_0006750,CLO_0008973,,EFO-CLS-CLO,Valid
EFO_0006482,CLO_0008966,,EFO-CLS-CLO,Valid
EFO_0006483,CLO_0008967,,EFO-CLS-CLO,Valid
EFO_0005366,CLO_0002318,,EFO-CLS-CLO,Valid
EFO_0005365,CLO_0002314,,EFO-CLS-CLO,Valid
EFO_0002389,CLO_0009600,,EFO-CLS-CLO,Valid
EFO_0005458,CLO_0009050,,EFO-CLS-CLO,Valid
EFO_0001111,CLO_0036831,,EFO-CLS-CLO,Valid
EFO_0001110,CLO_0036577,,EFO-CLS-CLO,Valid
EFO_0001114,CLO_0036801,,EFO-CLS-CLO,Valid
EFO_0002328,CLO_0009013,,EFO-CLS-CLO,Valid
EFO_0001112,CLO_0036869,,EFO-CLS-CLO,Valid
EFO_0001116,CLO_0016947,,EFO-CLS-CLO,Valid
EFO_0001115,CLO_0016958,,EFO-CLS-CLO,Valid
EFO_0001119,CLO_0020089,,EFO-CLS-CLO,Valid
EFO_0001118,CLO_0020088,,EFO-CLS-CLO,Valid
EFO_0001122,CLO_0020042,,EFO-CLS-CLO,Valid
EFO_0001120,CLO_0020086,,EFO-CLS-CLO,Valid
EFO_0001109,CLO_0036571,,EFO-CLS-CLO,Valid
EFO_0006664,CLO_0008024,,EFO-CLS-CLO,Valid
EFO_0002269,CLO_0008025,,EFO-CLS-CLO,Valid
EFO_0006665,CLO_0008028,,EFO-CLS-CLO,Valid
EFO_0002076,CLO_0008697,,EFO-CLS-CLO,Valid
EFO_0005263,CLO_0009384,,EFO-CLS-CLO,Valid
EFO_0001108,CLO_0036574,,EFO-CLS-CLO,Valid
EFO_0006666,CLO_0008029,,EFO-CLS-CLO,Valid
EFO_0002383,CLO_0009382,,EFO-CLS-CLO,Valid
EFO_0002783,CLO_0036556,,EFO-CLS-CLO,Valid
EFO_0001107,CLO_0036434,,EFO-CLS-CLO,Valid
EFO_0006667,CLO_0008032,,EFO-CLS-CLO,Valid
EFO_0002270,CLO_0008031,,EFO-CLS-CLO,Valid
EFO_0006668,CLO_0008033,,EFO-CLS-CLO,Valid
EFO_0005385,CLO_0006672,,EFO-CLS-CLO,Valid
